Age,Attrition,BusinessTravel,DailyRate,DailyRate_capped,DailyRate_z,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,HourlyRate_capped,HourlyRate_z,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome_capped,MonthlyIncome_z,MonthlyIncome_isOutlier,MonthlyRate,MonthlyRate_capped,MonthlyRate_z,NumCompaniesWorked,NumCompaniesWorked_capped,NumCompaniesWorked_z,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TotalWorkingYears_capped,TotalWorkingYears_z,TrainingTimesLastYear,WorkLifeBalance,SatisfactionIndex,YearsAtCompany,YearsAtCompany_capped,YearsAtCompany_z,TenureRatio,YearsInCurrentRole,YearsInCurrentRole_capped,YearsInCurrentRole_z,YearsSinceLastPromotion,YearsSinceLastPromotion_capped,YearsSinceLastPromotion_z,YearsWithCurrManager,YearsWithCurrManager_capped,YearsWithCurrManager_z
41,Attrition_cce,BusinessTravel_QjW,-3,45,-0.715,Department_kP2,18,2,EducationField_K9s,1,Gender_LXK,35,92,-0.142,3,1,JobRole_Pvh,2,MaritalStatus_Lwf,4766,-912,-0.659,0,9643,1447,0.693,7,0.632,0.229,OverTime_FBO,10,3,1,1,20,-2.734,-0.721,4,2,3.226,18,15,1.044,0.508,7,7.754,-0.166,2,-2.218,1.1,6,4.346,0.042
48,Attrition_cce,BusinessTravel_GU3,1459,1242,1.474,Department_jT8,23,4,EducationField_8Z2,4,Gender_OB4,74,78,1.045,4,4,JobRole_Q67,1,MaritalStatus_dOB,11632,13647,-1.162,0,13216,9428,-0.596,7,0.066,-0.738,OverTime_mdn,20,4,3,1,20,23.963,-1.477,1,4,3.136,-3,14,1.446,0.242,7,-1.536,-0.928,-3,2.421,-1.152,8,9.656,-1.444
40,Attrition_cce,BusinessTravel_fbP,702,751,0.541,Department_bOF,-4,3,EducationField_Rp6,3,Gender_e90,76,92,-1.902,2,4,JobRole_2cS,4,MaritalStatus_Lwf,8912,6941,0.62,1,22910,9491,-1.399,6,-0.237,0.607,OverTime_FBO,13,3,4,1,10,2.674,0.553,4,3,2.212,1,13,0.422,0.286,-1,11.224,1.953,4,-0.036,-0.2,-2,2.722,-0.606
35,Attrition_Vec,BusinessTravel_GU3,1004,332,1.802,Department_bOF,12,2,EducationField_jos,1,Gender_e90,53,105,-1.32,3,4,JobRole_Q67,5,MaritalStatus_Lwf,9787,1734,1.543,0,20014,19365,1.548,2,2.883,-0.502,OverTime_CnD,16,2,4,0,-4,-0.124,0.518,2,2,3.524,-4,13,-0.158,0.916,0,5.099,1.601,-1,6.4,-0.402,4,-0.371,0.596
25,Attrition_BPd,BusinessTravel_wUO,327,736,0.458,Department_kP2,7,3,EducationField_cAb,2,Gender_LXK,70,88,-0.398,1,3,JobRole_MxQ,1,MaritalStatus_gnP,11416,4774,-0.438,0,1728,24759,1.115,1,1.563,0.827,OverTime_CnD,16,4,1,1,-1,11.391,0.219,5,3,1.889,5,-1,-0.951,0.205,10,4.647,-1.744,-2,6.012,-0.788,6,0.293,0.784
26,Attrition_BPd,BusinessTravel_QjW,1290,289,0.369,Department_cLc,-5,5,EducationField_K9s,2,Gender_D8I,72,103,-1.16,2,2,JobRole_VnH,3,MaritalStatus_e7R,3562,3099,-1.857,1,11320,14769,-0.945,4,5.817,0.569,OverTime_YN4,13,3,2,0,-4,23.92,-1.821,1,2,3.292,-3,13,1.255,0.413,5,0.215,1.901,3,0.204,0.83,4,5.137,1.743
47,Attrition_wYQ,BusinessTravel_fbP,1533,275,0.287,Department_bOF,16,3,EducationField_K9s,4,Gender_LXK,60,46,0.004,4,0,JobRole_BOs,2,MaritalStatus_Lwf,11684,10343,-1.411,1,10936,23559,-1.887,4,4.839,0.991,OverTime_mdn,11,4,4,0,27,-0.924,-0.871,1,3,3.131,13,-2,0.768,0.717,-2,9.411,-1.135,-1,5.608,-0.23,4,7.342,0.966
27,Attrition_Vec,BusinessTravel_wUO,1265,234,-1.711,Department_kP2,0,2,EducationField_g1A,3,Gender_LXK,66,60,2.005,3,4,JobRole_WcB,1,MaritalStatus_dOB,8315,13254,-0.512,0,15348,19868,0.676,2,3.656,0.634,OverTime_FBO,16,4,4,-1,2,-3.014,-0.226,2,2,3.339,10,11,0.706,0.504,2,0.391,1.054,-2,3.253,-0.361,6,3.113,-1.182
40,Attrition_BPd,BusinessTravel_QjW,1229,1174,-0.558,Department_SkG,-2,4,EducationField_jn0,3,Gender_OB4,44,29,0.356,4,4,JobRole_BOs,4,MaritalStatus_e7R,14899,10603,0.029,1,17423,24621,-1.684,3,-0.999,-1.719,OverTime_CnD,19,4,3,1,22,7.342,1.674,1,2,2.627,19,0,1.429,0.93,4,-0.497,1.888,8,1.161,1.247,3,5.948,0.13
32,Attrition_wYQ,BusinessTravel_QjW,866,111,0.958,Department_bOF,2,3,EducationField_8Z2,4,Gender_e90,36,44,-0.622,3,1,JobRole_WcB,3,MaritalStatus_e7R,4432,1151,0.057,0,15667,25306,1.132,1,-0.887,1.832,OverTime_YN4,11,3,4,2,15,11.698,-0.9,3,3,2.756,-1,1,1.35,0.264,-1,-2.216,-1.328,8,-2.336,-0.008,9,9.783,0.747
