Age,Attrition,BusinessTravel,DailyRate,DailyRate_capped,DailyRate_z,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,HourlyRate_capped,HourlyRate_z,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome_capped,MonthlyIncome_z,MonthlyIncome_isOutlier,MonthlyRate,MonthlyRate_capped,MonthlyRate_z,NumCompaniesWorked,NumCompaniesWorked_capped,NumCompaniesWorked_z,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TotalWorkingYears_capped,TotalWorkingYears_z,TrainingTimesLastYear,WorkLifeBalance,SatisfactionIndex,YearsAtCompany,YearsAtCompany_capped,YearsAtCompany_z,TenureRatio,YearsInCurrentRole,YearsInCurrentRole_capped,YearsInCurrentRole_z,YearsSinceLastPromotion,YearsSinceLastPromotion_capped,YearsSinceLastPromotion_z,YearsWithCurrManager,YearsWithCurrManager_capped,YearsWithCurrManager_z
40,Yes,Travel_Frequently,793,71,0.523,Research & Development,15,3,Human Resources,4,Male,7,78,-0.348,1,1,Sales Executive,1,Single,6051,3913,0.025,0,18960,7740,-1.552,2,1.757,-0.311,Yes,18,3,1,0,2,19.071,0.582,4,3,3.977,2,6,-1.346,0.456,-2,1.23,0.448,3,-1.467,0.59,5,1.1,-0.076
28,Yes,Travel_Rarely,728,930,-0.738,Human Resources,14,3,Technical Degree,3,Female,74,47,1.049,3,3,Healthcare Representative,3,Divorced,12238,7867,-1.06,0,17823,20893,-0.729,1,1.555,1.99,Yes,17,3,4,0,22,1.504,0.412,2,3,2.511,3,-2,-1.161,1.005,6,5.253,-0.254,2,0.751,-0.355,7,5.383,0.611
44,No,Travel_Rarely,934,1507,-0.202,Human Resources,12,5,Human Resources,2,Male,-7,75,1.06,2,2,Healthcare Representative,1,Single,5765,4291,-0.369,0,15054,11788,-0.05,6,4.579,-1.715,Yes,16,3,3,3,6,9.656,-0.069,2,4,2.439,6,1,1.388,0.597,7,-1.614,-0.647,1,-3.399,0.176,4,7.109,1.236
46,No,Travel_Frequently,1375,163,0.182,Human Resources,14,3,Human Resources,2,Female,32,41,0.218,3,2,Human Resources,2,Single,3290,10437,0.617,1,6478,15229,1.15,5,4.703,0.489,Yes,16,3,2,2,27,18.819,-0.433,0,3,1.834,0,11,-0.57,0.466,6,-3.048,1.657,-1,2.533,0.83,8,2.608,0.312
19,Yes,Travel_Rarely,832,1151,0.819,Research & Development,11,5,Other,3,Male,76,62,0.993,4,3,Laboratory Technician,2,Divorced,4191,3036,-0.611,0,19705,13893,-1.016,4,1.365,-1.66,No,12,3,4,1,16,8.079,0.134,2,3,3.427,-1,6,0.202,0.27,3,5.378,-0.182,-2,0.697,1.376,4,2.682,-0.423
25,No,Travel_Rarely,1060,660,-0.421,Research & Development,26,2,Other,3,Female,76,69,0.306,2,1,Healthcare Representative,4,Divorced,12734,3727,0.212,0,5766,19458,-0.08,4,1.691,-0.11,No,18,3,2,2,3,6.923,0.515,3,3,3.212,7,5,0.461,0.759,6,1.351,-0.434,2,-1.752,0.493,7,4.253,-2.019
38,Yes,Travel_Frequently,-50,770,0.514,Human Resources,8,4,Other,4,Female,43,116,-0.525,3,2,Research Director,3,Single,9198,3561,-0.288,0,22449,8412,0.667,3,4.018,-0.431,No,11,3,1,1,7,19.852,1.961,4,4,3.94,2,3,0.477,0.967,5,-2.863,1.084,1,4.628,-0.044,2,6.053,0.08
34,No,Non-Travel,775,361,-0.29,Sales,6,3,Human Resources,4,Male,52,39,0.729,2,4,Sales Executive,2,Divorced,4771,3963,0.627,0,34337,6810,-2.338,3,0.644,-2.061,No,18,3,4,3,18,8.914,0.887,2,3,2.028,2,6,-1.285,0.765,1,6.172,-0.709,0,-1.305,-0.119,-2,4.115,0.037
37,No,Travel_Rarely,448,657,-0.139,Sales,3,2,Marketing,3,Female,94,96,0.145,2,3,Sales Representative,3,Divorced,5488,11353,0.442,0,16903,15908,1.02,0,1.672,0.38,Yes,19,3,2,-1,20,19.413,0.922,4,2,3.458,2,8,-0.243,1.403,11,11.813,-0.583,7,3.912,0.351,5,7.554,0.19
29,Yes,Travel_Rarely,293,1331,0.829,Research & Development,1,3,Medical,1,Male,57,70,0.036,3,2,Sales Representative,0,Single,-902,9265,-0.659,0,18419,18544,-1.159,-3,2.905,-0.379,Yes,16,3,2,1,11,14.385,2.943,1,3,2.761,10,12,-1.362,1.141,3,9.204,0.013,2,0.199,-0.167,7,2.557,2.066
