Age,Attrition,BusinessTravel,DailyRate,DailyRate_capped,DailyRate_z,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,HourlyRate_capped,HourlyRate_z,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome_capped,MonthlyIncome_z,MonthlyIncome_isOutlier,MonthlyRate,MonthlyRate_capped,MonthlyRate_z,NumCompaniesWorked,NumCompaniesWorked_capped,NumCompaniesWorked_z,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TotalWorkingYears_capped,TotalWorkingYears_z,TrainingTimesLastYear,WorkLifeBalance,SatisfactionIndex,YearsAtCompany,YearsAtCompany_capped,YearsAtCompany_z,TenureRatio,YearsInCurrentRole,YearsInCurrentRole_capped,YearsInCurrentRole_z,YearsSinceLastPromotion,YearsSinceLastPromotion_capped,YearsSinceLastPromotion_z,YearsWithCurrManager,YearsWithCurrManager_capped,YearsWithCurrManager_z
46,Yes,Non-Travel,425,836,-0.777,Sales,5,3,Medical,3,Female,66,84,0.078,2,3,Sales Representative,2,Divorced,8495,4299,-1.513,0,17045,12072,-1.087,5,0.488,-0.995,No,16,3,3,0,-2,18.618,1.52,1,4,2.721,5,8,-0.161,0.329,10,5.111,-0.041,1,3.656,0.765,-1,1.757,0.389
41,Yes,Travel_Rarely,581,1677,0.728,Research & Development,15,2,Human Resources,3,Female,23,74,-0.671,3,1,Human Resources,4,Married,6300,-3148,-1.259,0,4586,23866,-0.661,4,0.592,-1.978,No,11,3,2,3,-3,3.747,-0.924,3,2,2.437,5,5,0.901,0.7,5,10.073,0.307,2,-2.711,0.675,9,6.369,1.378
43,Yes,Travel_Rarely,1414,292,-0.818,Human Resources,5,3,Technical Degree,2,Female,77,72,0.236,3,4,Human Resources,2,Divorced,10128,11620,-0.291,0,14352,16977,-0.815,1,1.282,1.27,Yes,17,3,6,1,17,7.694,0.093,2,3,2.426,2,5,0.38,0.636,7,1.385,1.46,1,0.93,-0.687,2,13.296,0.225
38,No,Travel_Rarely,1197,557,-0.745,Research & Development,7,2,Human Resources,3,Female,58,71,-1.048,3,1,Laboratory Technician,2,Married,11758,8292,-1.559,0,22557,12709,0.673,-1,0.817,-2.118,Yes,17,4,3,0,10,-0.38,0.07,4,3,3.042,7,11,-0.816,0.859,7,4.124,-0.993,0,3.719,0.592,4,9.602,-2.006
46,Yes,Non-Travel,856,1204,-0.76,Research & Development,-13,3,Life Sciences,2,Male,65,66,0.633,3,3,Laboratory Technician,3,Single,10208,11225,-0.061,0,-8503,25358,0.93,4,2.108,1.385,No,12,3,0,2,14,22.691,0.248,4,3,2.6,11,8,-1.727,0.278,-1,2.525,1.113,5,-0.341,0.959,5,8.637,-0.413
54,No,Travel_Frequently,646,239,-0.835,Sales,17,4,Human Resources,3,Female,79,50,0.735,2,3,Research Director,2,Divorced,1712,10697,0.587,0,19449,17860,-0.878,4,1.04,0.131,Yes,13,4,1,0,10,13.926,-0.441,2,3,3.118,5,7,0.348,1.304,9,0.283,0.094,5,3.078,-0.9,3,6.275,1.679
34,No,Travel_Frequently,630,806,1.576,Human Resources,15,4,Life Sciences,3,Male,84,39,-0.896,1,2,Manager,2,Divorced,1177,4519,-0.48,0,7567,13056,0.397,9,0.912,-0.934,No,19,3,2,0,15,1.507,1.306,2,4,1.982,0,7,-0.263,0.895,7,6.938,-0.66,0,4.185,-0.469,5,5.143,0.39
42,Yes,Travel_Frequently,1126,533,-0.452,Research & Development,-4,3,Other,2,Male,51,73,1.667,3,2,Sales Executive,2,Single,377,9710,-0.149,0,5127,22618,0.149,1,3.723,-1.126,Yes,15,4,4,1,12,-1.682,-0.657,3,2,1.431,6,12,-1.169,0.531,9,6.768,-1.065,2,7.083,-1.224,2,-0.575,0.686
31,Yes,Non-Travel,869,448,-1.7,Sales,8,4,Life Sciences,4,Female,60,69,-0.981,1,2,Manager,5,Divorced,8247,11614,-0.955,0,18451,6539,1.0,4,7.149,0.479,No,15,2,3,-1,17,11.447,1.188,3,3,2.15,-4,14,0.416,0.651,5,5.998,0.633,3,2.129,-0.801,8,5.997,-0.812
33,No,Travel_Frequently,1396,977,-0.155,Human Resources,16,3,Marketing,4,Male,52,13,-0.798,2,4,Manufacturing Director,2,Married,4324,-2404,0.488,0,18958,12254,-0.37,3,-0.679,-1.997,No,10,3,3,1,2,15.699,-0.085,4,3,2.662,6,10,-0.374,0.885,6,5.445,-0.366,4,2.781,-0.386,3,3.202,0.954
