Age,Attrition,BusinessTravel,DailyRate,DailyRate_capped,DailyRate_z,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,HourlyRate_capped,HourlyRate_z,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome_capped,MonthlyIncome_z,MonthlyIncome_isOutlier,MonthlyRate,MonthlyRate_capped,MonthlyRate_z,NumCompaniesWorked,NumCompaniesWorked_capped,NumCompaniesWorked_z,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TotalWorkingYears_capped,TotalWorkingYears_z,TrainingTimesLastYear,WorkLifeBalance,SatisfactionIndex,YearsAtCompany,YearsAtCompany_capped,YearsAtCompany_z,TenureRatio,YearsInCurrentRole,YearsInCurrentRole_capped,YearsInCurrentRole_z,YearsSinceLastPromotion,YearsSinceLastPromotion_capped,YearsSinceLastPromotion_z,YearsWithCurrManager,YearsWithCurrManager_capped,YearsWithCurrManager_z
41,Yes,Travel_Rarely,1102,1102,0.7422739671679385,Sales,1,2,Life Sciences,2,Female,94,94,1.3826677524667244,3,2,Sales Executive,4,Single,5993,5993,-0.10831265366124095,0,19479,19479,0.725772953414645,8,8.0,2.124412965787362,Yes,11,3,1,0,8,8.0,-0.42149901822042835,0,1,2.0,6,6,-0.1645571086361877,0.75,4,4.0,-0.06327436663641088,0,0.0,-0.6789146428573514,5,5.0,0.2457503633577746
49,No,Travel_Frequently,279,279,-1.2973330732278399,Research & Development,8,1,Life Sciences,3,Male,61,61,-0.24059489675864865,2,2,Research Scientist,2,Married,5130,5130,-0.2916193490620745,0,24907,24907,1.4883696325462579,1,1.0,-0.6778187248056703,No,23,4,4,1,10,10.0,-0.16445543525676679,3,3,3.0,10,10,0.48834154121171225,1.0,7,7.0,0.7647373736526294,1,1.0,-0.3685898527395261,7,7.0,0.8062670961106719
37,Yes,Travel_Rarely,1373,1373,1.4138821177721377,Research & Development,2,2,Other,4,Male,92,92,1.284288197968217,2,1,Laboratory Technician,3,Single,2090,2090,-0.9373347071368532,0,2396,2396,-1.674271090359368,6,6.0,1.3237753399036383,Yes,15,3,2,0,7,7.0,-0.5500208097022591,3,3,3.0,0,0,-1.1439050834080375,0.0,0,0.0,-1.1672900203551313,0,0.0,-0.6789146428573514,0,0.0,-1.1555414685244687
33,No,Travel_Frequently,1392,1392,1.4609690360801812,Research & Development,3,4,Life Sciences,4,Female,56,56,-0.4865437830049173,3,1,Research Scientist,3,Married,2909,2909,-0.7633738919186809,0,23159,23159,1.2427876511309928,1,1.0,-0.6778187248056703,Yes,11,3,3,0,8,8.0,-0.42149901822042835,3,3,3.25,8,8,0.1618922162877623,1.0,7,7.0,0.7647373736526294,3,3.0,0.2520597274961243,0,0.0,-1.1555414685244687
27,No,Travel_Rarely,591,591,-0.5241163094325995,Research & Development,2,1,Medical,1,Male,40,40,-1.273580218992977,3,1,Laboratory Technician,2,Married,3468,3468,-0.6446387323253252,0,16632,16632,0.32578902830637274,9,8.5,2.324572372258293,No,12,3,4,1,6,6.0,-0.6785426011840899,3,3,2.5,2,2,-0.8174557584840876,0.3333333333333333,2,2.0,-0.6152821934957711,2,2.0,-0.058265062621700905,2,2.0,-0.5950247357715714
32,No,Travel_Frequently,1005,1005,0.5018828579110849,Research & Development,2,2,Life Sciences,4,Male,79,79,0.6448210937279185,3,1,Laboratory Technician,4,Single,3068,3068,-0.7296012794404276,0,11864,11864,-0.3440821887348082,0,0.0,-1.078137537747532,No,13,3,3,0,8,8.0,-0.42149901822042835,2,2,3.25,7,7,-0.0013324461742127045,0.875,7,7.0,0.7647373736526294,3,3.0,0.2520597274961243,6,6.0,0.5260087297342232
59,No,Travel_Rarely,1324,1324,1.292447433714552,Research & Development,3,3,Medical,3,Female,81,81,0.743200648226426,4,1,Laboratory Technician,1,Married,2670,2670,-0.8141390138199547,0,9964,9964,-0.6110191250557486,4,4.0,0.5231377140199149,Yes,20,4,1,3,12,12.0,0.09258814770689477,3,2,1.75,1,1,-0.9806804209460626,0.08333333333333333,0,0.0,-1.1672900203551313,0,0.0,-0.6789146428573514,0,0.0,-1.1555414685244687
30,No,Travel_Rarely,1358,1358,1.3767082348973665,Research & Development,24,1,Life Sciences,4,Male,67,67,0.05454376673687373,3,1,Laboratory Technician,3,Divorced,2693,2693,-0.8092536673608363,0,13335,13335,-0.1374168027726486,1,1.0,-0.6778187248056703,No,22,4,2,1,1,1.0,-1.3211515585932438,2,3,3.0,1,1,-0.9806804209460626,1.0,0,0.0,-1.1672900203551313,0,0.0,-0.6789146428573514,0,0.0,-1.1555414685244687
38,No,Travel_Frequently,216,216,-1.453463381301879,Research & Development,23,3,Life Sciences,4,Male,44,44,-1.0768211099959621,2,3,Manufacturing Director,3,Single,9526,9526,0.6421190437329015,0,8787,8787,-0.7763795324503522,0,0.0,-1.078137537747532,No,21,4,2,0,10,10.0,-0.16445543525676679,2,3,3.0,9,9,0.32511687874973727,0.9,7,7.0,0.7647373736526294,1,1.0,-0.3685898527395261,8,8.0,1.0865254624871206
36,No,Travel_Rarely,1299,1299,1.2304909622565998,Research & Development,27,3,Medical,3,Male,94,94,1.3826677524667244,3,2,Healthcare Representative,3,Married,5237,5237,-0.2688918677087846,0,16577,16577,0.3180619064655034,6,6.0,1.3237753399036383,No,13,3,2,2,17,17.0,0.7351971051160486,3,2,2.5,7,7,-0.0013324461742127045,0.4117647058823529,7,7.0,0.7647373736526294,7,7.0,1.493358887967425,7,7.0,0.8062670961106719
