Age,BusinessTravel,DailyRate_capped,DailyRate_z,Department,DistanceFromHome,Education,EducationField,Gender,HourlyRate_capped,HourlyRate_z,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome_capped,MonthlyIncome_z,MonthlyRate_capped,MonthlyRate_z,NumCompaniesWorked_capped,NumCompaniesWorked_z,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears_capped,TotalWorkingYears_z,TrainingTimesLastYear,WorkLifeBalance,SatisfactionIndex,YearsAtCompany_capped,YearsAtCompany_z,TenureRatio,YearsInCurrentRole_capped,YearsInCurrentRole_z,YearsSinceLastPromotion_capped,YearsSinceLastPromotion_z,YearsWithCurrManager_capped,YearsWithCurrManager_z
41,Travel_Rarely,1102,0.7422739671679385,Sales,1,2,Life Sciences,Female,94,1.3826677524667244,3,2,Sales Executive,Single,5993,-0.10831265366124095,19479,0.725772953414645,8.0,2.124412965787362,Yes,11,3,0,8.0,-0.42149901822042835,0,1,2.0,6,-0.1645571086361877,0.75,4.0,-0.06327436663641088,0.0,-0.6789146428573514,5.0,0.2457503633577746
49,Travel_Frequently,279,-1.2973330732278399,Research & Development,8,1,Life Sciences,Male,61,-0.24059489675864865,2,2,Research Scientist,Married,5130,-0.2916193490620745,24907,1.4883696325462579,1.0,-0.6778187248056703,No,23,4,1,10.0,-0.16445543525676679,3,3,3.0,10,0.48834154121171225,1.0,7.0,0.7647373736526294,1.0,-0.3685898527395261,7.0,0.8062670961106719
37,Travel_Rarely,1373,1.4138821177721377,Research & Development,2,2,Other,Male,92,1.284288197968217,2,1,Laboratory Technician,Single,2090,-0.9373347071368532,2396,-1.674271090359368,6.0,1.3237753399036383,Yes,15,3,0,7.0,-0.5500208097022591,3,3,3.0,0,-1.1439050834080375,0.0,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
38,Travel_Frequently,216,-1.453463381301879,Research & Development,23,3,Life Sciences,Male,44,-1.0768211099959621,2,3,Manufacturing Director,Single,9526,0.6421190437329015,8787,-0.7763795324503522,0.0,-1.078137537747532,No,21,4,0,10.0,-0.16445543525676679,2,3,3.0,9,0.32511687874973727,0.9,7.0,0.7647373736526294,1.0,-0.3685898527395261,8.0,1.0865254624871206
36,Travel_Rarely,1299,1.2304909622565998,Research & Development,27,3,Medical,Male,94,1.3826677524667244,3,2,Healthcare Representative,Married,5237,-0.2688918677087846,16577,0.3180619064655034,6.0,1.3237753399036383,No,13,3,2,17.0,0.7351971051160486,3,2,2.5,7,-0.0013324461742127045,0.4117647058823529,7.0,0.7647373736526294,7.0,1.493358887967425,7.0,0.8062670961106719
31,Travel_Rarely,670,-0.3283338596254713,Research & Development,26,1,Life Sciences,Male,31,-1.7162882142362605,3,1,Research Scientist,Divorced,2911,-0.7629490791831054,15170,0.12038808046362806,1.0,-0.6778187248056703,No,17,3,1,5.0,-0.8070643926659207,1,2,2.5,5,-0.32778177109816264,1.0,2.0,-0.6152821934957711,4.0,0.5623845176139496,3.0,-0.31476636939512276
34,Travel_Rarely,1346,1.3469691285975496,Research & Development,19,2,Medical,Male,93,1.3334779752174708,3,1,Laboratory Technician,Divorced,2661,-0.8160506711300445,8758,-0.780453833057356,0.0,-1.078137537747532,No,11,3,1,3.0,-1.0641079756295821,2,3,3.0,2,-0.8174557584840876,0.6666666666666666,2.0,-0.6152821934957711,1.0,-0.3685898527395261,2.0,-0.5950247357715714
28,Travel_Rarely,103,-1.7335066322918216,Research & Development,24,3,Life Sciences,Male,50,-0.7816824465004397,2,1,Laboratory Technician,Single,2028,-0.950503901939694,12947,-0.1919281350318722,5.0,0.9234565269617766,Yes,14,3,0,6.0,-0.6785426011840899,4,3,2.75,4,-0.4910064335601377,0.6666666666666666,2.0,-0.6152821934957711,0.0,-0.6789146428573514,3.0,-0.31476636939512276
22,Non-Travel,1123,0.7943174031926181,Research & Development,16,2,Medical,Male,96,1.481047306965232,4,1,Laboratory Technician,Divorced,2935,-0.7578513263561992,7324,-0.9819209734174763,1.0,-0.6778187248056703,Yes,13,3,2,1.0,-1.3211515585932438,2,2,3.0,1,-0.9806804209460626,1.0,0.0,-1.1672900203551313,0.0,-0.6789146428573514,0.0,-1.1555414685244687
53,Travel_Rarely,1219,1.0322302535911536,Sales,2,4,Life Sciences,Female,78,0.5956313164786647,2,4,Manager,Married,15427,1.8955290200484505,22021,1.0829064755871873,2.0,-0.27749991186380857,No,16,3,0,28.5,2.2131977071571027,3,3,2.75,18,1.794138840907512,0.8064516129032258,8.0,1.0407412870823096,3.0,0.2520597274961243,7.0,0.8062670961106719
24,Non-Travel,673,-0.32089908305051706,Research & Development,11,2,Other,Female,96,1.481047306965232,4,2,Manufacturing Director,Divorced,4011,-0.5293020746165736,8232,-0.8543532164809428,0.0,-1.078137537747532,No,18,3,1,5.0,-0.8070643926659207,5,2,2.5,4,-0.4910064335601377,0.8,2.0,-0.6152821934957711,1.0,-0.3685898527395261,3.0,-0.31476636939512276
